0,state:2,Time:14:58:13,Lat:0.00000000,Lng:-0.00000000,ax: 0.001,ay:-0.001,az:-0.001,q: 0.062,pressure:100223
0,state:2,Time:14:58:13,Lat:0.00000000,Lng:-0.00000000,ax:-0.002,ay:   0.0,az:-0.001,q: 0.062,pressure:100218
0,state:2,Time:14:58:14,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay: 0.001,az: 0.002,q: 0.062,pressure:100215
0,state:2,Time:14:58:14,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay: 0.003,az: 0.002,q: 0.062,pressure:100218
0,state:2,Time:14:58:14,Lat:0.00000000,Lng:-0.00000000,ax: 0.002,ay: 0.001,az: 0.001,q: 0.062,pressure:100227
0,state:2,Time:14:58:15,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay:-0.001,az:   0.0,q: 0.062,pressure:100226
0,state:2,Time:14:58:15,Lat:0.00000000,Lng:-0.00000000,ax:-0.002,ay:   0.0,az:-0.001,q: 0.062,pressure:100220
0,state:2,Time:14:58:15,Lat:0.00000000,Lng:-0.00000000,ax:-0.001,ay:   0.0,az:-0.001,q: 0.062,pressure:100229
0,state:2,Time:14:58:15,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay:-0.002,az: 0.001,q: 0.062,pressure:100221
0,state:2,Time:14:58:16,Lat:0.00000000,Lng:-0.00000000,ax: 0.001,ay:-0.001,az:   0.0,q: 0.062,pressure:100218
0,state:2,Time:14:58:16,Lat:0.00000000,Lng:-0.00000000,ax:-0.001,ay:   0.0,az:-0.001,q: 0.062,pressure:100223
0,state:2,Time:14:58:16,Lat:0.00000000,Lng:-0.00000000,ax: 0.001,ay:-0.001,az: 0.001,q: 0.062,pressure:100224
0,state:2,Time:14:58:16,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay:   0.0,az: 0.001,q: 0.062,pressure:100218
0,state:2,Time:14:58:17,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay:   0.0,az:   0.0,q: 0.062,pressure:100223
0,state:2,Time:14:58:17,Lat:0.00000000,Lng:-0.00000000,ax:-0.001,ay:-0.001,az:-0.001,q: 0.062,pressure:100218
0,state:3,Time:14:58:18,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay:-0.002,az:-0.001,q: 0.062,pressure:100213
