0,state:5,Time:12:31:03,Lat:0.00000000,Lng:-0.00000000,ax: 0.016,ay: 0.001,az:-0.008,q: 0.125,pressure: 99836,cameraCount:    38
0,state:5,Time:12:31:04,Lat:0.00000000,Lng:-0.00000000,ax: 0.039,ay: 0.008,az:-0.007,q: 0.188,pressure: 99840,cameraCount:    39
0,state:5,Time:12:31:05,Lat:0.00000000,Lng:-0.00000000,ax: 0.004,ay: 0.018,az:-0.011,q: 0.188,pressure: 99843,cameraCount:    40
0,state:5,Time:12:31:06,Lat:0.00000000,Lng:-0.00000000,ax:-0.027,ay:-0.038,az: 0.019,q: 0.188,pressure: 99846,cameraCount:    41
0,state:5,Time:12:31:07,Lat:0.00000000,Lng:-0.00000000,ax:-0.022,ay:-0.041,az: 0.026,q:  0.25,pressure: 99839,cameraCount:    42
0,state:5,Time:12:31:08,Lat:0.00000000,Lng:-0.00000000,ax:-0.002,ay:-0.018,az:  0.02,q:  0.25,pressure: 99846,cameraCount:    43
0,state:5,Time:12:31:08,Lat:0.00000000,Lng:-0.00000000,ax: 0.057,ay: 0.034,az:-0.044,q: 0.188,pressure: 99845,cameraCount:    44
0,state:5,Time:12:31:09,Lat:0.00000000,Lng:-0.00000000,ax:-0.004,ay:-0.017,az:-0.003,q: 0.188,pressure: 99848,cameraCount:    45
0,state:5,Time:12:31:10,Lat:0.00000000,Lng:-0.00000000,ax: 0.046,ay: 0.013,az:-0.024,q: 0.188,pressure: 99839,cameraCount:    46
0,state:5,Time:12:31:11,Lat:0.00000000,Lng:-0.00000000,ax: 0.009,ay: 0.004,az:-0.007,q: 0.188,pressure: 99843,cameraCount:    47
0,state:5,Time:12:31:12,Lat:0.00000000,Lng:-0.00000000,ax:-0.028,ay: -0.03,az: 0.023,q: 0.188,pressure: 99848,cameraCount:    48
0,state:5,Time:12:31:12,Lat:0.00000000,Lng:-0.00000000,ax:-0.002,ay:-0.006,az:-0.001,q: 0.188,pressure: 99845,cameraCount:    49
0,state:5,Time:12:31:13,Lat:0.00000000,Lng:-0.00000000,ax:-0.003,ay:   0.0,az: 0.002,q: 0.188,pressure: 99848,cameraCount:    50
0,state:5,Time:12:31:13,Lat:0.00000000,Lng:-0.00000000,ax:-0.002,ay:-0.001,az: 0.001,q: 0.188,pressure: 99845,cameraCount:    51
0,state:5,Time:12:31:13,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay:   0.0,az:-0.002,q: 0.188,pressure: 99845,cameraCount:    52
0,state:5,Time:12:31:14,Lat:0.00000000,Lng:-0.00000000,ax: 0.001,ay:-0.004,az:-0.002,q: 0.188,pressure: 99845,cameraCount:    53
0,state:5,Time:12:31:14,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay:-0.003,az: 0.002,q: 0.188,pressure: 99852,cameraCount:    54
0,state:5,Time:12:31:15,Lat:0.00000000,Lng:-0.00000000,ax: 0.001,ay:-0.003,az: 0.001,q: 0.188,pressure: 99855,cameraCount:    55
0,state:5,Time:12:31:15,Lat:0.00000000,Lng:-0.00000000,ax:-0.001,ay: 0.004,az: 0.001,q: 0.188,pressure: 99860,cameraCount:    56
0,state:5,Time:12:31:15,Lat:0.00000000,Lng:-0.00000000,ax: 0.002,ay: 0.004,az: 0.001,q: 0.188,pressure: 99852,cameraCount:    57
0,state:5,Time:12:31:16,Lat:0.00000000,Lng:-0.00000000,ax:   0.0,ay:-0.001,az:-0.003,q: 0.188,pressure: 99860,cameraCount:    58
0,state:5,Time:12:31:17,Lat:0.00000000,Lng:-0.00000000,ax: 0.041,ay:-0.011,az:-0.014,q: 0.188,pressure: 99854,cameraCount:    59
0,state:5,Time:12:31:18,Lat:0.00000000,Lng:-0.00000000,ax: -0.03,ay:-0.017,az: 0.011,q:  0.25,pressure: 99852,cameraCount:    60
0,state:5,Time:12:31:19,Lat:0.00000000,Lng:-0.00000000,ax: 0.009,ay:-0.008,az: 0.019,q:  0.25,pressure: 99851,cameraCount:    61
0,state:5,Time:12:31:20,Lat:0.00000000,Lng:-0.00000000,ax: 0.038,ay: 0.036,az:-0.032,q:  0.25,pressure: 99851,cameraCount:    62
0,state:5,Time:12:31:20,Lat:0.00000000,Lng:-0.00000000,ax: 0.024,ay: 0.004,az:-0.017,q:  0.25,pressure: 99852,cameraCount:    63
0,state:5,Time:12:31:21,Lat:0.00000000,Lng:-0.00000000,ax: 0.006,ay: 0.002,az:-0.009,q:  0.25,pressure: 99843,cameraCount:    64
0,state:5,Time:12:31:22,Lat:0.00000000,Lng:-0.00000000,ax: 0.007,ay:   0.0,az:-0.013,q:  0.25,pressure: 99852,cameraCount:    65
0,state:5,Time:12:31:23,Lat:0.00000000,Lng:-0.00000000,ax:-0.001,ay: -0.02,az: 0.008,q:  0.25,pressure: 99845,cameraCount:    66
0,state:5,Time:12:31:24,Lat:0.00000000,Lng:-0.00000000,ax:-0.012,ay:-0.039,az:  0.01,q:  0.25,pressure: 99834,cameraCount:    67
0,state:5,Time:12:31:25,Lat:0.00000000,Lng:-0.00000000,ax: 0.001,ay: -0.02,az: -0.01,q:  0.25,pressure: 99837,cameraCount:    68
0,state:5,Time:12:31:26,Lat:0.00000000,Lng:-0.00000000,ax:-0.022,ay:-0.002,az:-0.001,q:  0.25,pressure: 99843,cameraCount:    69
0,state:5,Time:12:31:27,Lat:0.00000000,Lng:-0.00000000,ax: 0.041,ay: 0.026,az: -0.04,q:  0.25,pressure: 99836,cameraCount:    70
0,state:5,Time:12:31:28,Lat:0.00000000,Lng:-0.00000000,ax:  0.01,ay: 0.001,az:-0.002,q:  0.25,pressure: 99840,cameraCount:    71
0,state:5,Time:12:31:29,Lat:0.00000000,Lng:-0.00000000,ax: 0.016,ay: 0.012,az:-0.026,q:  0.25,pressure: 99848,cameraCount:    72
