0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:-0.002,az:-0.001,q: 359.0,pressure: 99957,cameraCount:    44
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:   0.0,az:-0.001,q: 359.0,pressure: 99952,cameraCount:    45
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:   0.0,az: 0.003,q: 359.0,pressure: 99955,cameraCount:    46
0,state:5,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay: 0.001,az:   0.0,q: 359.0,pressure: 99954,cameraCount:    47
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:   0.0,az:-0.001,q: 359.0,pressure: 99958,cameraCount:    48
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:-0.001,az:-0.001,q: 359.0,pressure: 99951,cameraCount:    49
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:-0.001,az:   0.0,q: 359.0,pressure: 99962,cameraCount:    50
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.001,ay: 0.001,az:   0.0,q: 359.0,pressure: 99951,cameraCount:    51
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.002,ay: 0.001,az: 0.001,q: 359.0,pressure: 99958,cameraCount:    52
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.001,ay:   0.0,az:   0.0,q: 359.0,pressure: 99952,cameraCount:    53
0,state:5,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay: 0.001,az:   0.0,q: 359.0,pressure: 99944,cameraCount:    54
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.002,ay:   0.0,az:-0.001,q: 359.0,pressure: 99958,cameraCount:    55
0,state:5,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay: 0.001,az:-0.001,q: 359.0,pressure: 99954,cameraCount:    56
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:   0.0,az:-0.001,q: 359.0,pressure: 99951,cameraCount:    57
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.003,ay:-0.001,az:-0.001,q: 359.0,pressure: 99958,cameraCount:    58
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:-0.001,az: 0.001,q: 359.0,pressure: 99957,cameraCount:    59
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:-0.001,az:   0.0,q: 359.0,pressure: 99955,cameraCount:    60
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.001,ay:-0.001,az:-0.001,q: 359.0,pressure: 99958,cameraCount:    61
0,state:5,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.001,az: 0.001,q: 359.0,pressure: 99954,cameraCount:    62
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay:-0.001,az:   0.0,q: 359.0,pressure: 99951,cameraCount:    63
0,state:5,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:-0.001,q: 359.0,pressure: 99962,cameraCount:    64
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.002,ay: 0.004,az:-0.003,q: 359.0,pressure: 99955,cameraCount:    65
0,state:5,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.001,az:   0.0,q: 359.0,pressure: 99949,cameraCount:    66
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.002,ay: 0.001,az: 0.002,q: 359.0,pressure: 99957,cameraCount:    67
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.001,ay: 0.001,az: 0.001,q: 359.0,pressure: 99957,cameraCount:    68
0,state:5,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.002,az:   0.0,q: 359.0,pressure: 99960,cameraCount:    69
0,state:5,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:-0.003,q: 359.0,pressure: 99957,cameraCount:    70
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.001,ay:-0.002,az:-0.001,q: 359.0,pressure: 99958,cameraCount:    71
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.002,ay:-0.001,az:   0.0,q: 359.0,pressure: 99954,cameraCount:    72
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.001,ay: 0.001,az:-0.001,q: 359.0,pressure: 99955,cameraCount:    73
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay: 0.004,az:   0.0,q: 359.0,pressure: 99951,cameraCount:    74
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.002,ay: 0.001,az:-0.002,q: 359.0,pressure: 99955,cameraCount:    75
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.001,ay:-0.002,az: 0.001,q: 359.0,pressure: 99946,cameraCount:    76
0,state:5,Time:0,Lat:     0,Lng:     0,ax:-0.003,ay: 0.001,az:-0.001,q: 359.0,pressure: 99952,cameraCount:    77
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.001,ay: 0.001,az: 0.001,q: 359.0,pressure: 99962,cameraCount:    78
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.002,ay:   0.0,az:   0.0,q: 359.0,pressure: 99952,cameraCount:    79
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.002,ay:   0.0,az:   0.0,q: 359.0,pressure: 99957,cameraCount:    80
0,state:5,Time:0,Lat:     0,Lng:     0,ax: 0.002,ay: 0.002,az:   0.0,q: 359.0,pressure: 99951,cameraCount:    81
